196,85,17,31,1
276,86,19,31,1
427,78,18,31,1
442,79,23,31,1
523,95,24,31,1
149,80,18,32,1
492,87,23,32,1
547,88,25,32,1
584,90,24,32,1
589,85,22,32,1
242,94,10,33,1
244,84,19,33,1
291,98,9,33,1
323,89,22,33,1
450,89,23,33,1
84,85,17,34,1
194,91,7,34,1
209,96,10,34,1
328,88,22,34,1
401,89,19,34,1
277,82,19,35,1
313,87,7,35,1
360,93,22,35,1
416,75,23,35,1
532,95,24,35,1
41,90,9,36,1
64,79,19,36,1
482,92,23,36,1
505,90,25,36,1
577,80,24,36,1
252,97,10,37,1
336,94,22,37,1
458,90,23,37,1
498,95,24,37,1
572,86,25,37,1
143,89,7,38,1
195,80,19,38,1
331,90,22,38,1
366,94,10,38,1
533,80,24,38,1
278,95,10,39,1
338,89,22,39,1
368,80,18,39,1
374,86,7,39,1
436,80,19,39,1
176,89,7,40,1
235,80,19,40,1
238,82,18,40,1
292,88,22,40,1
372,95,10,40,1
282,85,19,41,1
309,87,18,41,1
440,88,23,41,1
509,90,24,41,1
541,86,25,41,1
104,92,9,42,1
487,82,23,42,1
506,85,24,42,1
537,84,25,42,1
561,87,22,42,1
180,70,19,43,1
193,86,17,43,1
239,97,10,43,1
298,88,22,43,1
474,85,23,43,1
220,75,19,44,1
350,88,22,44,1
443,81,23,44,1
507,86,25,44,1
522,85,24,44,1
263,94,10,45,1
304,100,9,45,1
472,70,23,45,1
515,88,25,45,1
521,90,24,45,1
128,75,19,46,1
486,84,23,46,1
512,80,24,46,1
550,84,25,46,1
569,85,22,46,1
197,96,7,47,1
399,95,10,47,1
404,82,19,47,1
476,80,23,47,1
503,85,25,47,1
188,82,17,48,1
306,92,18,48,1
319,95,9,48,1
347,94,22,48,1
437,81,19,48,1
373,95,10,49,1
434,83,19,49,1
460,95,23,49,1
563,90,22,49,1
576,88,25,49,1
286,100,9,50,1
337,88,22,50,1
412,84,19,50,1
457,91,23,50,1
513,90,24,50,1
230,93,10,51,1
354,91,22,51,1
415,70,23,51,1
432,86,19,51,1
542,84,25,51,1
83,85,17,52,1
157,79,19,52,1
210,93,7,52,1
213,97,10,52,1
284,100,9,52,1
186,82,17,53,1
233,95,10,53,1
315,96,18,53,1
386,87,7,53,1
428,87,19,53,1
232,96,10,54,1
345,89,22,54,1
394,93,18,54,1
456,92,23,54,1
545,84,25,54,1
226,94,10,55,1
330,89,22,55,1
379,89,17,55,1
398,78,19,55,1
454,92,23,55,1
216,95,10,56,1
310,100,9,56,1
351,90,22,56,1
387,82,18,56,1
470,71,23,56,1
76,78,17,57,1
154,88,18,57,1
534,95,24,57,1
554,82,23,57,1
562,88,22,57,1
85,82,17,58,1
184,94,7,58,1
280,94,10,58,1
296,84,22,58,1
431,83,19,58,1
78,78,17,59,1
106,83,18,59,1
259,95,10,59,1
294,95,9,59,1
335,93,22,59,1
74,78,17,60,1
155,78,19,60,1
172,90,18,60,1
530,95,24,60,1
538,85,25,60,1
69,80,19,61,1
95,82,17,61,1
269,94,10,61,1
488,86,23,61,1
516,90,24,61,1
117,85,17,62,1
526,95,24,62,1
536,85,25,62,1
558,85,23,62,1
588,89,22,62,1
77,80,17,63,1
485,88,23,63,1
539,86,25,63,1
575,95,24,63,1
591,94,22,63,1
205,97,10,64,1
308,100,9,64,1
332,92,22,64,1
383,84,19,64,1
423,98,23,64,1
221,94,10,65,1
316,86,7,65,1
340,92,22,65,1
411,83,19,65,1
468,80,23,65,1
156,87,19,66,1
201,94,18,66,1
236,96,10,66,1
248,88,7,66,1
519,95,24,66,1
254,96,10,67,1
352,90,22,67,1
414,79,19,67,1
425,87,18,67,1
439,99,23,67,1
272,90,9,68,1
322,96,7,68,1
346,93,22,68,1
391,87,18,68,1
453,94,23,68,1
63,85,9,69,1
489,96,23,69,1
502,85,25,69,1
583,90,24,69,1
590,93,22,69,1
192,85,17,70,1
240,98,10,70,1
281,100,9,70,1
333,91,22,70,1
446,96,23,70,1
94,90,19,71,1
548,86,25,71,1
555,89,23,71,1
560,95,22,71,1
585,90,24,71,1
228,96,10,72,1
267,95,9,72,1
339,90,22,72,1
413,86,19,72,1
451,95,23,72,1
178,82,19,73,1
257,97,10,73,1
444,91,23,73,1
496,80,24,73,1
544,86,25,73,1
206,88,17,74,1
207,94,10,74,1
299,86,7,74,1
302,90,9,74,1
324,92,22,74,1
120,92,9,75,1
187,81,17,75,1
203,95,10,75,1
270,86,19,75,1
462,96,23,75,1
191,81,17,76,1
301,88,7,76,1
358,90,22,76,1
408,87,19,76,1
477,88,23,76,1
290,88,9,77,1
318,88,18,77,1
325,87,22,77,1
463,94,23,77,1
501,95,24,77,1
175,82,19,78,1
300,90,7,78,1
334,89,22,78,1
376,87,17,78,1
421,86,23,78,1
293,100,9,79,1
395,78,19,79,1
396,94,10,79,1
473,89,23,79,1
559,94,22,79,1
229,88,18,80,1
287,85,22,80,1
303,95,7,80,1
385,85,19,80,1
478,97,23,80,1
141,85,9,81,1
551,85,25,81,1
556,92,23,81,1
573,90,24,81,1
592,95,22,81,1
215,84,17,82,1
250,94,10,82,1
348,89,22,82,1
